,average_score
bleu,0.09776723213231828
rouge1,0.27540978128754573
rougeL,0.2666685812166403
meteor,0.4363981234057591
semantic_similarity,0.48494449711432236
bert_f1,0.8592195381097688
f1_overlap,0.23457452455797032
nli_score,0.9082936073801174
